System Version: 1011601622
No	Value		Title
872	0		12th axis homing direction(0:pos;1:neg)
873	0		13th axis homing direction(0:pos;1:neg)
874	0		14th axis homing direction(0:pos;1:neg)
875	0		15th axis homing direction(0:pos;1:neg)
876	0		16th axis homing direction(0:pos;1:neg)
881	0		X axis home offset(BLU)
882	0		Y axis home offset(BLU)
883	0		Z axis home offset(BLU)
884	0		4th axis home offset(BLU)
885	0		5th axis home offset(BLU)
886	0		6th axis home offset(BLU)
887	0		7th axis home offset(BLU)
888	0		8th axis home offset(BLU)
889	0		9th axis home offset(BLU)
890	0		10th axis home offset(BLU)
891	0		11th axis home offset(BLU)
892	0		12th axis home offset(BLU)
893	0		13th axis home offset(BLU)
894	0		14th axis home offset(BLU)
895	0		15th axis home offset(BLU)
896	0		16th axis home offset(BLU)
901	3		X axis zero speed check window(count)
902	3		Y axis zero speed check window(count)
903	3		Z axis zero speed check window(count)
904	3		4th axis zero speed check window(count)
905	3		5th axis zero speed check window(count)
906	3		6th axis zero speed check window(count)
907	3		7th axis zero speed check window(count)
908	3		8th axis zero speed check window(count)
909	3		9th axis zero speed check window(count)
910	3		10th axis zero speed check window(count)
911	3		11th axis zero speed check window(count)
912	3		12th axis zero speed check window(count)
913	3		13th axis zero speed check window(count)
914	3		14th axis zero speed check window(count)
915	3		15th axis zero speed check window(count)
916	3		16th axis zero speed check window(count)
921	0		X axis home dog polarity(0:pos;1:neg)
922	0		Y axis home dog polarity(0:pos;1:neg)
923	0		Z axis home dog polarity(0:pos;1:neg)
924	0		4th axis home dog polarity(0:pos;1:neg)
925	0		5th axis home dog polarity(0:pos;1:neg)
926	0		6th axis home dog polarity(0:pos;1:neg)
927	0		7th axis home dog polarity(0:pos;1:neg)
928	0		8th axis home dog polarity(0:pos;1:neg)
929	0		9th axis home dog polarity(0:pos;1:neg)
930	0		10th axis home dog polarity(0:pos;1:neg)
931	0		11th axis home dog polarity(0:pos;1:neg)
932	0		12th axis home dog polarity(0:pos;1:neg)
933	0		13th axis home dog polarity(0:pos;1:neg)
934	0		14th axis home dog polarity(0:pos;1:neg)
935	0		15th axis home dog polarity(0:pos;1:neg)
936	0		16th axis home dog polarity(0:pos;1:neg)
941	0		Enable X axis home grid function(0:OFF;1:ON)
942	0		Enable Y axis home grid function(0:OFF;1:ON)
943	0		Enable Z axis home grid function(0:OFF;1:ON)
944	0		Enable 4th axis home grid function(0:OFF;1:ON)
945	0		Enable 5th axis home grid function(0:OFF;1:ON)
946	0		Enable 6th axis home grid function(0:OFF;1:ON)
947	0		Enable 7th axis home grid function(0:OFF;1:ON)
948	0		Enable 8th axis home grid function(0:OFF;1:ON)
949	0		Enable 9th axis home grid function(0:OFF;1:ON)
950	0		Enable 10th axis home grid function(0:OFF;1:ON)
951	0		Enable 11th axis home grid function(0:OFF;1:ON)
952	0		Enable 12th axis home grid function(0:OFF;1:ON)
953	0		Enable 13th axis home grid function(0:OFF;1:ON)
954	0		Enable 14th axis home grid function(0:OFF;1:ON)
955	0		Enable 15th axis home grid function(0:OFF;1:ON)
956	0		Enable 16th axis home grid function(0:OFF;1:ON)
961	0		X axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
962	0		Y axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
963	0		Z axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
964	1		4th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
965	1		5th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
966	1		6th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
967	1		7th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
968	1		8th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
969	1		9th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
970	1		10th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
971	1		11th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
972	1		12th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
973	1		13th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
974	1		14th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
975	1		15th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
976	1		16th axis home serach method(0:Dog;1:Index;2:Dog+Preset;3:DogWithoutIndex)
981	5		X axis homing 2nd protect revolution(encoder type)
982	5		Y axis homing 2nd protect revolution(encoder type)
983	5		Z axis homing 2nd protect revolution(encoder type)
984	5		4th axis homing 2nd protect revolution(encoder type)
985	5		5th axis homing 2nd protect revolution(encoder type)
986	5		6th axis homing 2nd protect revolution(encoder type)
987	5		7th axis homing 2nd protect revolution(encoder type)
988	5		8th axis homing 2nd protect revolution(encoder type)
989	5		9th axis homing 2nd protect revolution(encoder type)
990	5		10th axis homing 2nd protect revolution(encoder type)
991	5		11th axis homing 2nd protect revolution(encoder type)
992	5		12th axis homing 2nd protect revolution(encoder type)
993	5		13th axis homing 2nd protect revolution(encoder type)
994	5		14th axis homing 2nd protect revolution(encoder type)
995	5		15th axis homing 2nd protect revolution(encoder type)
996	5		16th axis homing 2nd protect revolution(encoder type)
1001	0		*X axis fast return home(0:OFF;1:ON)
1002	0		*Y axis fast return home(0:OFF;1:ON)
1003	0		*Z axis fast return home(0:OFF;1:ON)
1004	0		*4th axis fast return home(0:OFF;1:ON)
1005	0		*5th axis fast return home(0:OFF;1:ON)
1006	0		*6th axis fast return home(0:OFF;1:ON)
1007	0		*7th axis fast return home(0:OFF;1:ON)
1008	0		*8th axis fast return home(0:OFF;1:ON)
1009	0		*9th axis fast return home(0:OFF;1:ON)
1010	0		*10th axis fast return home(0:OFF;1:ON)
1011	0		*11th axis fast return home(0:OFF;1:ON)
1012	0		*12th axis fast return home(0:OFF;1:ON)
1013	0		*13th axis fast return home(0:OFF;1:ON)
1014	0		*14th axis fast return home(0:OFF;1:ON)
1015	0		*15th axis fast return home(0:OFF;1:ON)
1016	0		*16th axis fast return home(0:OFF;1:ON)
1221	0		Enable X axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1222	0		Enable Y axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1223	0		Enable Z axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1224	0		Enable 4th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1225	0		Enable 5th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1226	0		Enable 6th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1227	0		Enable 7th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1228	0		Enable 8th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1229	0		Enable 9th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1230	0		Enable 10th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1231	0		Enable 11th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1232	0		Enable 12th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1233	0		Enable 13th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1234	0		Enable 14th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1235	0		Enable 15th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1236	0		Enable 16th axis backlash compensation(0:OFF;1:Linear Guideway ON;2:Box Guideway ON)
1241	0		X axis G00 Backlash (BLU)
1242	0		Y axis G00 Backlash (BLU)
1243	0		Z axis G00 Backlash (BLU)
1244	0		4th axis G00 Backlash (BLU)
1245	0		5th axis G00 Backlash (BLU)
1246	0		6th axis G00 Backlash (BLU)
1247	0		7th axis G00 Backlash (BLU)
1248	0		8th axis G00 Backlash (BLU)
1249	0		9th axis G00 Backlash (BLU)
1250	0		10th axis G00 Backlash (BLU)
1251	0		11th axis G00 Backlash (BLU)
1252	0		12th axis G00 Backlash (BLU)
1253	0		13th axis G00 Backlash (BLU)
1254	0		14th axis G00 Backlash (BLU)
1255	0		15th axis G00 Backlash (BLU)
1256	0		16th axis G00 Backlash (BLU)
1261	0		X axis G01 Backlash (BLU)
1262	0		Y axis G01 Backlash (BLU)
1263	0		Z axis G01 Backlash (BLU)
1264	0		4th axis G01 Backlash (BLU)
1265	0		5th axis G01 Backlash (BLU)
1266	0		6th axis G01 Backlash (BLU)
1267	0		7th axis G01 Backlash (BLU)
1268	0		8th axis G01 Backlash (BLU)
1269	0		9th axis G01 Backlash (BLU)
1270	0		10th axis G01 Backlash (BLU)
1271	0		11th axis G01 Backlash (BLU)
1272	0		12th axis G01 Backlash (BLU)
1273	0		13th axis G01 Backlash (BLU)
1274	0		14th axis G01 Backlash (BLU)
1275	0		15th axis G01 Backlash (BLU)
1276	0		16th axis G01 Backlash (BLU)
1281	800		X axis backlash critical velocity (mm/min)
1282	800		Y axis backlash critical velocity (mm/min)
1283	800		Z axis backlash critical velocity (mm/min)
1284	800		4th axis backlash critical velocity (mm/min)
1285	0		5th axis backlash critical velocity (mm/min)
1286	0		6th axis backlash critical velocity (mm/min)
1287	0		7th axis backlash critical velocity (mm/min)
1288	0		8th axis backlash critical velocity (mm/min)
1289	0		9th axis backlash critical velocity (mm/min)
1290	0		10th axis backlash critical velocity (mm/min)
1291	0		11th axis backlash critical velocity (mm/min)
1292	0		12th axis backlash critical velocity (mm/min)
1293	0		13th axis backlash critical velocity (mm/min)
1294	0		14th axis backlash critical velocity (mm/min)
1295	0		15th axis backlash critical velocity (mm/min)
1296	0		16th axis backlash critical velocity (mm/min)
1301	0		X axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1302	0		Y axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1303	0		Z axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1304	0		4th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1305	0		5th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1306	0		6th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1307	0		7th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1308	0		8th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1309	0		9th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1310	0		10th axis pitch err. comp. type(0:No;1:Uni;2:Bi)
1321	50000		X axis pitch error comp. interval(BLU)
1322	50000		Y axis pitch error comp. interval(BLU)
1323	50000		Z axis pitch error comp. interval(BLU)
1324	50000		4th axis pitch error comp. interval(BLU)
1325	50000		5th axis pitch error comp. interval(BLU)
1326	50000		6th axis pitch error comp. interval(BLU)
1327	50000		7th axis pitch error comp. interval(BLU)
1328	50000		8th axis pitch error comp. interval(BLU)
1329	50000		9th axis pitch error comp. interval(BLU)
1330	50000		10th axis pitch error comp. interval(BLU)
1341	50		X axis table index for reference(home)
1342	50		Y axis table index for reference(home)
1343	50		Z axis table index for reference(home)
1344	50		4th axis table index for reference(home)
1345	50		5th axis table index for reference(home)
1346	50		6th axis table index for reference(home)
1347	50		7th axis table index for reference(home)
1348	50		8th axis table index for reference(home)
1349	50		9th axis table index for reference(home)
1350	50		10th axis table index for reference(home)
1361	0		X axis pos. quad-peak error comp.(BLU)
1362	0		Y axis pos. quad-peak error comp.(BLU)
1363	0		Z axis pos. quad-peak error comp.(BLU)
1364	0		4th axis pos. quad-peak error comp.(BLU)
1365	0		5th axis pos. quad-peak error comp.(BLU)
1366	0		6th axis pos. quad-peak error comp.(BLU)
1367	0		7th axis pos. quad-peak error comp.(BLU)
1368	0		8th axis pos. quad-peak error comp.(BLU)
1369	0		9th axis pos. quad-peak error comp.(BLU)
1370	0		10th axis pos. quad-peak error comp.(BLU)
1371	0		11th axis pos. quad-peak error comp.(BLU)
1372	0		12th axis pos. quad-peak error comp.(BLU)
1373	0		13th axis pos. quad-peak error comp.(BLU)
1374	0		14th axis pos. quad-peak error comp.(BLU)
1375	0		15th axis pos. quad-peak error comp.(BLU)
1376	0		16th axis pos. quad-peak error comp.(BLU)
1381	10		X axis quad-peak error second hold time(ms)
1382	10		Y axis quad-peak error second hold time(ms)
1383	10		Z axis quad-peak error second hold time(ms)
1384	10		4th axis quad-peak error second hold time(ms)
1385	0		5th axis quad-peak error second hold time(ms)
1386	0		6th axis quad-peak error second hold time(ms)
1387	0		7th axis quad-peak error second hold time(ms)
1388	0		8th axis quad-peak error second hold time(ms)
1389	0		9th axis quad-peak error second hold time(ms)
1390	0		10th axis quad-peak error second hold time(ms)
1391	0		11th axis quad-peak error second hold time(ms)
1392	0		12th axis quad-peak error second hold time(ms)
1393	0		13th axis quad-peak error second hold time(ms)
1394	0		14th axis quad-peak error second hold time(ms)
1395	0		15th axis quad-peak error second hold time(ms)
1396	0		16th axis quad-peak error second hold time(ms)
1401	10		X axis mechanical comp. time constant(ms)
1402	10		Y axis mechanical comp. time constant(ms)
1403	10		Z axis mechanical comp. time constant(ms)
1404	10		4th axis mechanical comp. time constant(ms)
1405	0		5th axis mechanical comp. time constant(ms)
1406	0		6th axis mechanical comp. time constant(ms)
1407	0		7th axis mechanical comp. time constant(ms)
1408	0		8th axis mechanical comp. time constant(ms)
1409	0		9th axis mechanical comp. time constant(ms)
1410	0		10th axis mechanical comp. time constant(ms)
1411	0		11th axis mechanical comp. time constant(ms)
1412	0		12th axis mechanical comp. time constant(ms)
1413	0		13th axis mechanical comp. time constant(ms)
1414	0		14th axis mechanical comp. time constant(ms)
1415	0		15th axis mechanical comp. time constant(ms)
1416	0		16th axis mechanical comp. time constant(ms)
1421	1000		X aixs max. static dual error(BLU)
1422	1000		Y aixs max. static dual error(BLU)
1423	1000		Z aixs max. static dual error(BLU)
1424	1000		4th aixs max. static dual error(BLU)
1425	1000		5th aixs max. static dual error(BLU)
1426	1000		6th aixs max. static dual error(BLU)
1427	1000		7th aixs max. static dual error(BLU)
1428	1000		8th aixs max. static dual error(BLU)
1429	1000		9th aixs max. static dual error(BLU)
1430	1000		10th aixs max. static dual error(BLU)
1431	1000		11th aixs max. static dual error(BLU)
1432	1000		12th aixs max. static dual error(BLU)
1433	1000		13th aixs max. static dual error(BLU)
1434	1000		14th aixs max. static dual error(BLU)
1435	1000		15th aixs max. static dual error(BLU)
1436	1000		16th aixs max. static dual error(BLU)
1441	0		X axis neg. quad-peak error comp.(BLU)
1442	0		Y axis neg. quad-peak error comp.(BLU)
1443	0		Z axis neg. quad-peak error comp.(BLU)
1444	0		4th axis neg. quad-peak error comp.(BLU)
1445	0		5th axis neg. quad-peak error comp.(BLU)
1446	0		6th axis neg. quad-peak error comp.(BLU)
1447	0		7th axis neg. quad-peak error comp.(BLU)
1448	0		8th axis neg. quad-peak error comp.(BLU)
1449	0		9th axis neg. quad-peak error comp.(BLU)
1450	0		10th axis neg. quad-peak error comp.(BLU)
1451	0		11th axis neg. quad-peak error comp.(BLU)
1452	0		12th axis neg. quad-peak error comp.(BLU)
1453	0		13th axis neg. quad-peak error comp.(BLU)
1454	0		14th axis neg. quad-peak error comp.(BLU)
1455	0		15th axis neg. quad-peak error comp.(BLU)
1456	0		16th axis neg. quad-peak error comp.(BLU)
1461	10		X axis quad-peak error first hold time(ms)
1462	10		Y axis quad-peak error first hold time(ms)
1463	10		Z axis quad-peak error first hold time(ms)
1464	10		4th axis quad-peak error first hold time(ms)
1465	0		5th axis quad-peak error first hold time(ms)
1466	0		6th axis quad-peak error first hold time(ms)
1467	0		7th axis quad-peak error first hold time(ms)
1468	0		8th axis quad-peak error first hold time(ms)
1469	0		9th axis quad-peak error first hold time(ms)
1470	0		10th axis quad-peak error first hold time(ms)
1471	0		11th axis quad-peak error first hold time(ms)
1472	0		12th axis quad-peak error first hold time(ms)
1473	0		13th axis quad-peak error first hold time(ms)
1474	0		14th axis quad-peak error first hold time(ms)
1475	0		15th axis quad-peak error first hold time(ms)
1476	0		16th axis quad-peak error first hold time(ms)
1481	0		*1st straightness offset moving axis number
1482	0		*1st straightness offset compensating axis number
1483	0		*2nd straightness offset moving axis number
1484	0		*2nd straightness offset compensating axis number
1485	0		*3rd straightness offset moving axis number
1486	0		*3rd straightness offset compensating axis number
1487	0		*4th straightness offset moving axis number
1488	0		*4th straightness offset compensating axis number
1489	0		*5th straightness offset moving axis number
1490	0		*5th straightness offset compensating axis number
1621	4		*Axis ID or Port no. for 1st spindle
1622	0		*Axis ID or Port no. for 2nd spindle
1623	0		*Axis ID or Port no. for 3rd spindle
1624	0		*Axis ID or Port no. for 4th spindle
1625	0		*Axis ID or Port no. for 5th spindle
1626	0		*Axis ID or Port no. for 6th spindle
1631	0		1st spindle bias for zero speed(0.1 mV)
1632	0		2nd spindle bias for zero speed(0.1 mV)
1633	0		3rd spindle bias for zero speed(0.1 mV)
1634	0		4th spindle bias for zero speed(0.1 mV)
1635	0		5th spindle bias for zero speed(0.1 mV)
1636	0		6th spindle bias for zero speed(0.1 mV)
1641	0		1st spindle encoder polarity(0:Pos;1:Neg)
1642	0		2nd spindle encoder polarity(0:Pos;1:Neg)
1643	0		3rd spindle encoder polarity(0:Pos;1:Neg)
1644	0		4th spindle encoder polarity(0:Pos;1:Neg)
1645	0		5th spindle encoder polarity(0:Pos;1:Neg)
1646	0		6th spindle encoder polarity(0:Pos;1:Neg)
1651	1024		1st spindle encoder resolution(pulse/rev)
1652	1000		2nd spindle encoder resolution(pulse/rev)
1653	1000		3rd spindle encoder resolution(pulse/rev)
1654	1000		4th spindle encoder resolution(pulse/rev)
1655	1000		5th spindle encoder resolution(pulse/rev)
1656	1000		6th spindle encoder resolution(pulse/rev)
1661	4		1st spindle encoder scaling factor
1662	4		2nd spindle encoder scaling factor
1663	4		3rd spindle encoder scaling factor
1664	4		4th spindle encoder scaling factor
1665	4		5th spindle encoder scaling factor
1666	4		6th spindle encoder scaling factor
1671	200		1st spindle gain(RPM/V)
1672	200		2nd spindle gain(RPM/V)
1673	200		3rd spindle gain(RPM/V)
1674	200		4th spindle gain(RPM/V)
1675	200		5th spindle gain(RPM/V)
1676	200		6th spindle gain(RPM/V)
1681	1		1st spindle 1st gear number at screw side
1682	1		1st spindle 1st gear number at motor side
1683	1		2nd spindle 1st gear number at screw side
1684	1		2nd spindle 1st gear number at motor side
1685	1		3rd spindle 1st gear number at screw side
1686	1		3rd spindle 1st gear number at motor side
1687	1		4th spindle 1st gear number at screw side
1688	1		4th spindle 1st gear number at motor side
1689	1		5th spindle 1st gear number at screw side
1690	1		5th spindle 1st gear number at motor side
1691	1		6th spindle 1st gear number at screw side
1692	1		6th spindle 1st gear number at motor side
1711	0		*1st spindle pos. sensor exist?(0:No;1:Yes)
1712	0		*2nd spindle pos. sensor exist?(0:No;1:Yes)
1713	0		*3rd spindle pos. sensor exist?(0:No;1:Yes)
1714	0		*4th spindle pos. sensor exist?(0:No;1:Yes)
1715	0		*5th spindle pos. sensor exist?(0:No;1:Yes)
1716	0		*6th spindle pos. sensor exist?(0:No;1:Yes)
1721	10		1st spindle zero floating speed(RPM)
1722	0		2nd spindle zero floating speed(RPM)
1723	0		3rd spindle zero floating speed(RPM)
1724	0		4th spindle zero floating speed(RPM)
1725	0		5th spindle zero floating speed(RPM)
1726	0		6th spindle zero floating speed(RPM)
1731	100		1st spindle minimum speed(RPM)
1732	0		2nd spindle minimum speed(RPM)
1733	0		3rd spindle minimum speed(RPM)
1734	0		4th spindle minimum speed(RPM)
1735	0		5th spindle minimum speed(RPM)
1736	0		6th spindle minimum speed(RPM)
1741	50		1st spindle speed for orientation stop(RPM)
1742	50		2nd spindle speed for orientation stop(RPM)
1743	50		3rd spindle speed for orientation stop(RPM)
1744	50		4th spindle speed for orientation stop(RPM)
1745	50		5th spindle speed for orientation stop(RPM)
1746	50		6th spindle speed for orientation stop(RPM)
1751	0		1st spindle S.O.S. reference offset(0.001deg)
1752	0		2nd spindle S.O.S. reference offset(0.001deg)
1753	0		3rd spindle S.O.S. reference offset(0.001deg)
1754	0		4th spindle S.O.S. reference offset(0.001deg)
1755	0		5th spindle S.O.S. reference offset(0.001deg)
1756	0		6th spindle S.O.S. reference offset(0.001deg)
1761	1000		1st spindle orientation stop dec. time(ms)
1762	1000		2nd spindle orientation stop dec. time(ms)
1763	1000		3rd spindle orientation stop dec. time(ms)
1764	1000		4th spindle orientation stop dec. time(ms)
1765	1000		5th spindle orientation stop dec. time(ms)
1766	1000		6th spindle orientation stop dec. time(ms)
1771	0		1st spindle home reference offset(0.001deg)
1772	0		2nd spindle home reference offset(0.001deg)
1773	0		3rd spindle home reference offset(0.001deg)
1774	0		4th spindle home reference offset(0.001deg)
1775	0		5th spindle home reference offset(0.001deg)
1776	0		6th spindle home reference offset(0.001deg)
1781	0		1st min. speed for orientation stop(RPM)
1782	0		2nd min. speed for orientation stop(RPM)
1783	0		3rd min. speed for orientation stop(RPM)
1784	0		4th min. speed for orientation stop(RPM)
1785	0		5th min. speed for orientation stop(RPM)
1786	0		6th min. speed for orientation stop(RPM)
1791	0		*1st spindle motor type(0:Inv;1:PSpd;2:VSpd;3:Svo;4:SyntecSpd)
1792	0		*2nd spindle motor type(0:Inv;1:PSpd;2:VSpd;3:Svo;4:SyntecSpd)
1793	0		*3rd spindle motor type(0:Inv;1:PSpd;2:VSpd;3:Svo;4:SyntecSpd)
1794	0		*4th spindle motor type(0:Inv;1:PSpd;2:VSpd;3:Svo;4:SyntecSpd)
1795	0		*5th spindle motor type(0:Inv;1:PSpd;2:VSpd;3:Svo;4:SyntecSpd)
1796	0		*6th spindle motor type(0:Inv;1:PSpd;2:VSpd;3:Svo;4:SyntecSpd)
1801	24000		1st spindle maximum speed(RPM)
1802	10000		2nd spindle maximum speed(RPM)
1803	10000		3rd spindle maximum speed(RPM)
1804	10000		4th spindle maximum speed(RPM)
1805	10000		5th spindle maximum speed(RPM)
1806	10000		6th spindle maximum speed(RPM)
1811	0		1st spindle encoder mount location(0:Spd;1:Mot)
1812	0		2nd spindle encoder mount location(0:Spd;1:Mot)
1813	0		3rd spindle encoder mount location(0:Spd;1:Mot)
1814	0		4th spindle encoder mount location(0:Spd;1:Mot)
1815	0		5th spindle encoder mount location(0:Spd;1:Mot)
1816	0		6th spindle encoder mount location(0:Spd;1:Mot)
1821	30		1st spindle servo differential gain
1822	0		2nd spindle servo differential gain
1823	0		3rd spindle servo differential gain
1824	0		4th spindle servo differential gain
1825	0		5th spindle servo differential gain
1826	0		6th spindle servo differential gain
1831	4000		1st spindle motor acceleration time(ms)
1832	2000		2nd spindle motor acceleration time(ms)
1833	2000		3rd spindle motor acceleration time(ms)
1834	2000		4th spindle motor acceleration time(ms)
1835	2000		5th spindle motor acceleration time(ms)
1836	2000		6th spindle motor acceleration time(ms)
1841	1500		1st spindle motor fundamental frequency speed(RPM)
1842	0		2nd spindle motor fundamental frequency speed(RPM)
1843	0		3rd spindle motor fundamental frequency speed(RPM)
1844	0		4th spindle motor fundamental frequency speed(RPM)
1845	0		5th spindle motor fundamental frequency speed(RPM)
1846	0		6th spindle motor fundamental frequency speed(RPM)
1851	100		1st Spd. Acc. Acced. to 1000 RPM/s time(Jerk)(ms)
1852	100		2nd Spd. Acc. Acced. to 1000 RPM/s time(Jerk)(ms)
1853	100		3rd Spd. Acc. Acced. to 1000 RPM/s time(Jerk)(ms)
1854	100		4th Spd. Acc. Acced. to 1000 RPM/s time(Jerk)(ms)
1855	100		5th Spd. Acc. Acced. to 1000 RPM/s time(Jerk)(ms)
1856	100		6th Spd. Acc. Acced. to 1000 RPM/s time(Jerk)(ms)
1861	0		Spindle Sync., 1st spindle direction(0:CW Pos,CCW Neg;1:CCW Pos,CW Neg)
1862	0		Spindle Sync., 2nd spindle direction(0:CW Pos,CCW Neg;1:CCW Pos,CW Neg)
1863	0		Spindle Sync., 3rd spindle direction(0:CW Pos,CCW Neg;1:CCW Pos,CW Neg)
1864	0		Spindle Sync., 4th spindle direction(0:CW Pos,CCW Neg;1:CCW Pos,CW Neg)
1865	0		Spindle Sync., 5th spindle direction(0:CW Pos,CCW Neg;1:CCW Pos,CW Neg)
1866	0		Spindle Sync., 6th spindle direction(0:CW Pos,CCW Neg;1:CCW Pos,CW Neg)
1871	24000		*1st spindle initial speed(RPM)
1872	1000		*2nd spindle initial speed(RPM)
1873	1000		*3rd spindle initial speed(RPM)
1874	1000		*4th spindle initial speed(RPM)
1875	1000		*5th spindle initial speed(RPM)
1876	1000		*6th spindle initial speed(RPM)
1881	0		1st spindle speed control integral time(V type Spindle, ms)
1882	0		2nd spindle speed control integral time(V type Spindle, ms)
1883	0		3nd spindle speed control integral time(V type Spindle, ms)
1884	0		4nd spindle speed control integral time(V type Spindle, ms)
1885	0		5nd spindle speed control integral time(V type Spindle, ms)
1886	0		6nd spindle speed control integral time(V type Spindle, ms)
1901	1		1st spindle 2nd gear number at screw side
1902	1		1st spindle 2nd gear number at motor side
1903	1		2nd spindle 2nd gear number at screw side
1904	1		2nd spindle 2nd gear number at motor side
1905	1		3rd spindle 2nd gear number at screw side
1906	1		3rd spindle 2nd gear number at motor side
1907	1		4th spindle 2nd gear number at screw side
1908	1		4th spindle 2nd gear number at motor side
1909	1		5th spindle 2nd gear number at screw side
1910	1		5th spindle 2nd gear number at motor side
1911	1		6th spindle 2nd gear number at screw side
1912	1		6th spindle 2nd gear number at motor side
1921	1		1st spindle 3rd gear number at screw side
1922	1		1st spindle 3rd gear number at motor side
1923	1		2nd spindle 3rd gear number at screw side
1924	1		2nd spindle 3rd gear number at motor side
1925	1		3rd spindle 3rd gear number at screw side
1926	1		3rd spindle 3rd gear number at motor side
1927	1		4th spindle 3rd gear number at screw side
1928	1		4th spindle 3rd gear number at motor side
1929	1		5th spindle 3rd gear number at screw side
1930	1		5th spindle 3rd gear number at motor side
1931	1		6th spindle 3rd gear number at screw side
1932	1		6th spindle 3rd gear number at motor side
1941	1		1st spindle 4th gear number at screw side
1942	1		1st spindle 4th gear number at motor side
1943	1		2nd spindle 4th gear number at screw side
1944	1		2nd spindle 4th gear number at motor side
1945	1		3rd spindle 4th gear number at screw side
1946	1		3rd spindle 4th gear number at motor side
1947	1		4th spindle 4th gear number at screw side
1948	1		4th spindle 4th gear number at motor side
1949	1		5th spindle 4th gear number at screw side
1950	1		5th spindle 4th gear number at motor side
1951	1		6th spindle 4th gear number at screw side
1952	1		6th spindle 4th gear number at motor side
1964	0		§ð¤ú®É²Ä¤­¥D¶b»P²Ä´X¶b°t¹ï
1965	0		§ð¤ú®É²Ä¤»¥D¶b»P²Ä´X¶b°t¹ï
1971	0		when tapping 1st spindle acceleration time(ms)
1972	200		when tapping 2nd spindle acceleration time(ms)
1973	200		when tapping 3rd spindle acceleration time(ms)
1974	200		when tapping 4th spindle acceleration time(ms)
1975	200		when tapping 5th spindle acceleration time(ms)
1976	200		when tapping 6th spindle acceleration time(ms)
1981	0		when tapping 1st Spd. Acc. Acced. to 1000 RPM/s time(ms)
1982	100		when tapping 2nd Spd. Acc. Acced. to 1000 RPM/s time(ms)
1983	100		when tapping 3rd Spd. Acc. Acced. to 1000 RPM/s time(ms)
1984	100		when tapping 4th Spd. Acc. Acced. to 1000 RPM/s time(ms)
1985	100		when tapping 5th Spd. Acc. Acced. to 1000 RPM/s time(ms)
1986	100		when tapping 6th Spd. Acc. Acced. to 1000 RPM/s time(ms)
1991	0		check spindle speed arrival(0:Disable;1:Cutting;2:Threading;3:Cutting&Threading)
